report_date,total_raw,total_valid,total_invalid,invalid_rate,null_ip_count,invalid_method,invalid_status,duplicate_count,quality_score
2024-03-30,1060,1060,0,0.00,0,0,0,530,75.00
2024-03-29,1128,1128,0,0.00,0,0,0,564,75.00
2024-03-28,1106,1106,0,0.00,0,0,0,553,75.00
2024-03-27,1124,1124,0,0.00,0,0,0,562,75.00
2024-03-26,1044,1044,0,0.00,0,0,0,522,75.00
2024-03-25,1094,1094,0,0.00,0,0,0,547,75.00
2024-03-24,1170,1170,0,0.00,0,0,0,585,75.00
2024-03-23,1126,1126,0,0.00,0,0,0,563,75.00
2024-03-22,1060,1060,0,0.00,0,0,0,530,75.00
2024-03-21,1086,1086,0,0.00,0,0,0,543,75.00
2024-03-20,1122,1122,0,0.00,0,0,0,561,75.00
2024-03-19,1164,1164,0,0.00,0,0,0,582,75.00
2024-03-18,1162,1162,0,0.00,0,0,0,581,75.00
2024-03-17,1152,1152,0,0.00,0,0,0,576,75.00
2024-03-16,1114,1114,0,0.00,0,0,0,557,75.00
2024-03-15,1108,1108,0,0.00,0,0,0,554,75.00
2024-03-14,1132,1132,0,0.00,0,0,0,566,75.00
2024-03-13,1108,1108,0,0.00,0,0,0,554,75.00
2024-03-12,1210,1210,0,0.00,0,0,0,605,75.00
2024-03-11,1108,1108,0,0.00,0,0,0,554,75.00
2024-03-10,1122,1122,0,0.00,0,0,0,561,75.00
2024-03-09,1168,1168,0,0.00,0,0,0,584,75.00
2024-03-08,1204,1204,0,0.00,0,0,0,602,75.00
2024-03-07,1136,1136,0,0.00,0,0,0,568,75.00
2024-03-06,1082,1082,0,0.00,0,0,0,541,75.00
2024-03-05,1136,1136,0,0.00,0,0,0,568,75.00
2024-03-04,1140,1140,0,0.00,0,0,0,570,75.00
2024-03-03,1128,1128,0,0.00,0,0,0,564,75.00
2024-03-02,1058,1058,0,0.00,0,0,0,529,75.00
2024-03-01,1140,1140,0,0.00,0,0,0,570,75.00
